date,base,USD,GBP,ILS,RUB
2021-01-04,EUR,1.2296,0.9016,3.943,90.342
2021-01-05,EUR,1.2271,0.90333,3.9277,91.6715
2021-01-06,EUR,1.2338,0.90635,3.9289,90.8175
2021-01-07,EUR,1.2276,0.9019,3.9027,91.2
2021-01-08,EUR,1.225,0.90128,3.8981,90.8
2021-01-11,EUR,1.2163,0.90235,3.8676,90.8075
2021-01-12,EUR,1.2161,0.8944,3.8441,90.0537
2021-01-13,EUR,1.2166,0.88983,3.8212,89.7859
2021-01-14,EUR,1.2124,0.88943,3.8095,89.09
2021-01-15,EUR,1.2123,0.88998,3.9546,89.0364
2021-01-18,EUR,1.2064,0.89073,3.9018,89.5913
2021-01-19,EUR,1.2132,0.891,3.9354,89.44
2021-01-20,EUR,1.2101,0.88563,3.9373,89.085
2021-01-21,EUR,1.2158,0.88625,3.9775,89.6369
2021-01-22,EUR,1.2158,0.89045,3.9892,91.1009
2021-01-25,EUR,1.2152,0.888,3.9716,91.6732
2021-01-26,EUR,1.2143,0.88698,3.9692,91.2538
2021-01-27,EUR,1.2114,0.88395,3.9556,91.7258
2021-01-28,EUR,1.2091,0.88603,3.9825,92.3842
2021-01-29,EUR,1.2136,0.88383,3.9814,91.8979
2021-02-01,EUR,1.2084,0.882,3.9739,91.6248
2021-02-02,EUR,1.2044,0.88075,3.9727,90.9307
2021-02-03,EUR,1.2017,0.88145,3.9695,91.2217
2021-02-04,EUR,1.1996,0.87693,3.9549,90.6192
2021-02-05,EUR,1.1983,0.87538,3.9456,89.6325
2021-02-08,EUR,1.2025,0.87833,3.9487,89.4049
2021-02-09,EUR,1.2104,0.87828,3.9401,89.6164
2021-02-10,EUR,1.2127,0.8765,3.9441,89.5116
2021-02-11,EUR,1.2147,0.87755,3.9531,89.3792
2021-02-12,EUR,1.2108,0.87753,3.9377,89.8055
2021-02-15,EUR,1.2129,0.87225,3.9349,88.9548
2021-02-16,EUR,1.2143,0.87333,3.9304,89.3431
2021-02-17,EUR,1.206,0.8696,3.9278,89.0524
2021-02-18,EUR,1.2084,0.8654,3.9403,88.9872
2021-02-19,EUR,1.2139,0.86508,3.97,89.6089
2021-02-22,EUR,1.2133,0.8653,3.9683,90.98
2021-02-23,EUR,1.2143,0.86308,3.9655,89.9219
2021-02-24,EUR,1.2146,0.8603,3.9682,89.4919
2021-02-25,EUR,1.2225,0.86408,4.0086,90.3519
2021-02-26,EUR,1.2121,0.87053,4.0072,90.6697
