category,manufacturer,model,part,part_category
 Loader Parts ,Kawasaki , 90ZV-2 ,0050007340,"BOARD,FLOOR"
 Loader Parts ,Hyundai , HL730-9 ,1005C1,J/BEARING ASSY
 Forklift Parts ,Hyundai , 100D-7 ,11EM21041,ELEMENT-PRIMARY
 Forklift Parts ,Hyundai , 20BC-7 ,1073900,KEEPER PIN
 Forklift Parts ,Hyundai , 20B-7 ,10058209,ROTOR
 Crane Parts ,Hyundai , HC25E ,0002010601051,BOLT
 Crane Parts ,Hyundai , HC50E ,000101080154,BOLT-HEX
 Forklift Parts ,Hyundai , 180DE ,118227,DOWEL-RING
 Excavator Parts ,FAI , 245 ,200131655,JOINT
 Forklift Parts ,Hyundai , 20BC-9 ,101030003C,PISTON
 Forklift Parts ,Hyundai , 18BR ,11030852,STATOR CPL
 Dozers and Crawler Loader Parts ,Komatsu , D30AM-17 ,0101000825,BOLT
 Dozers and Crawler Loader Parts ,Komatsu , D50A-16 ,0101030610,BOLT
 Dozers and Crawler Loader Parts ,Komatsu , D45A-1 ,0101030610,BOLT
 Excavator Parts ,Hyundai , RD510LC-7 ,100099,SEAL-RECT RING
 Off Road Truck Parts ,Volvo , 860BM ,VOE1069363,Shaft
 Off Road Truck Parts ,Volvo , A25 BM ,VOE100222,Screw
 Excavator Parts ,Hyundai , RD220-7 ,0427VMD/DT,COIL
 Excavator Parts ,Hyundai , RD80-7 ,04A6330,PIPE
 Off Road Truck Parts ,Volvo , A20 BM ,VOE103359,Hexagon screw
 Excavator Parts ,Hyundai , RD340LC-7 ,10225.1000399999,NUT-SELF LOCK
 Excavator Parts ,Hyundai , RD110-7 ,11E11511,BOLT-CLAMP
 Excavator Parts ,Hyundai , R80CR-9 ,114250.530799999,NUT-NOZZLE CASE
 Excavator Parts ,Hyundai , R95W3 ,100GUMZ8,U/JOINT ASSY
 Excavator Parts ,Hyundai , R75-7 ,XJAF00148,NUT-JAM
 Excavator Parts ,Hyundai , RD210-7 ,108722,CLIP
 Excavator Parts ,Hyundai , R80-7 ,04A6330,PIPE
 Excavator Parts ,Hyundai , R800LC7A ,100099,SEAL-RECT RING
 Excavator Parts ,Hyundai , R60CR-9 ,10151,PIN
 Excavator Parts ,Hyundai , R55W7A ,100GUMZ3,U/JOINT ASSY
 Excavator Parts ,Hyundai , R55W7 ,100GUMZ3,U/JOINT ASSY
 Excavator Parts ,Hyundai , R55W-9 ,100GUMZ3,U/JOINT ASSY
 Excavator Parts ,Hyundai , R55W-3 ,001.01.1349,RING
 Excavator Parts ,Hyundai , R55-9 ,119005.35151,FILTER-OIL
 Excavator Parts ,Hyundai , R55-7 ,11F800071,HOSE-FUEL
 Excavator Parts ,Hyundai , R55-3 ,0002010601051,BOLT
